station_id,num_bikes_disabled,num_docks_disabled,legacy_id,is_installed,num_ebikes_available,is_renting,num_bikes_available,num_docks_available,last_reported,is_returning,eightd_has_available_keys,station_status,valet,eightd_active_station_services
72,0,0,72,0,0,0,0,55,1656077952,0,False,out_of_service,,
79,2,0,79,1,2,1,12,19,1656528505,1,False,active,,
82,1,0,82,1,0,1,24,2,1656526980,1,False,active,,
83,4,0,83,1,0,1,28,30,1656528115,1,False,active,,
116,0,0,116,0,0,0,0,0,86400,0,False,out_of_service,,
119,2,0,119,1,0,1,51,0,1656525828,1,False,active,,
120,0,0,120,1,0,1,7,12,1656527086,1,False,active,,
127,1,0,127,1,3,1,16,14,1656528150,1,False,active,,
128,2,0,128,1,2,1,43,11,1656528457,1,False,active,,
143,1,0,143,1,0,1,49,0,1656528641,1,False,active,,
144,1,0,144,1,1,1,55,2,1656528288,1,False,active,,
146,5,0,146,1,4,1,40,10,1656528654,1,False,active,,
150,1,0,150,1,0,1,1,54,1656528635,1,False,active,,
151,7,0,151,1,0,1,23,3,1656528699,1,False,active,,
152,2,0,152,1,3,1,46,1,1656528348,1,False,active,,
153,1,0,153,1,2,1,36,26,1656528566,1,False,active,,
157,2,0,157,1,1,1,15,6,1656528365,1,False,active,,
161,1,0,161,1,1,1,28,6,1656527603,1,False,active,,
164,4,0,164,1,2,1,57,16,1656528573,1,False,active,,
168,6,0,168,1,0,1,38,3,1656528637,1,False,active,,
174,1,0,174,1,0,1,17,17,1656527953,1,False,active,,
212,4,0,212,1,4,1,56,0,1656528667,1,False,active,,
216,1,0,216,1,5,1,24,12,1656528574,1,False,active,,
217,35,0,217,1,1,1,3,0,1656528575,1,False,active,,
223,6,27,223,1,0,1,0,0,1656528472,1,False,active,,
224,5,0,224,1,0,1,27,1,1656527996,1,False,active,,
228,0,0,228,1,0,0,0,0,86400,0,False,active,,
229,2,0,229,1,0,1,16,3,1656527880,1,False,active,,
232,1,0,232,1,1,1,48,2,1656528590,1,False,active,,
236,1,0,236,1,1,1,32,18,1656528526,1,False,active,,
238,2,0,238,1,3,1,10,19,1656528156,1,False,active,,
239,0,1,239,1,0,1,61,0,1656528482,1,False,active,,
241,0,0,241,1,0,1,19,4,1656526237,1,False,active,,
242,0,0,242,0,0,0,0,0,86400,0,False,out_of_service,,
244,1,0,244,1,1,1,14,36,1656526980,1,False,active,,
245,2,0,245,1,0,1,52,2,1656528373,1,False,active,,
247,58,0,247,1,0,1,0,0,1656528519,1,False,active,,
248,4,0,248,1,1,1,77,10,1656528167,1,False,active,,
249,0,0,249,1,0,1,27,0,1656525614,1,False,active,,
250,2,0,250,1,0,1,29,9,1656528689,1,False,active,,
251,3,0,251,1,2,1,17,6,1656528577,1,False,active,,
252,4,0,252,1,2,1,9,19,1656528683,1,False,active,,
254,3,0,254,1,0,1,7,37,1656528540,1,False,active,,
257,2,0,257,1,0,1,32,36,1656528341,1,False,active,,
258,2,0,258,1,1,1,7,14,1656528696,1,False,active,,
259,6,0,259,1,0,1,28,4,1656528592,1,False,active,,
260,4,0,260,1,1,1,25,4,1656527931,1,False,active,,
261,2,0,261,1,0,1,37,2,1656526994,1,False,active,,
262,3,0,262,1,0,1,2,19,1656528448,1,False,active,,
264,1,0,264,1,1,1,28,0,1656527069,1,False,active,,
265,0,0,265,1,0,1,26,9,1656528317,1,False,active,,
266,0,0,266,1,3,1,5,25,1656528474,1,False,active,,
267,2,0,267,1,2,1,6,70,1656528696,1,False,active,,
268,1,0,268,1,3,1,26,0,1656528698,1,False,active,,
270,1,0,270,1,1,1,6,21,1656527634,1,False,active,,
275,1,0,275,1,0,1,4,14,1656527591,1,False,active,,
278,2,0,278,1,0,1,11,6,1656526678,1,False,active,,
281,1,0,281,1,2,1,40,55,1656528633,1,False,active,,
284,6,0,284,1,2,1,19,26,1656528674,1,False,active,,
285,5,0,285,1,2,1,55,18,1656528608,1,False,active,,
289,1,0,289,1,0,1,13,5,1656528414,1,False,active,,
291,0,0,291,1,0,1,6,13,1656528422,1,False,active,,
293,4,0,293,1,0,1,73,14,1656528537,1,False,active,,
294,5,0,294,1,2,1,47,9,1656528603,1,False,active,,
295,0,0,295,1,1,1,22,2,1656527897,1,False,active,,
297,3,0,297,1,0,1,15,58,1656528657,1,False,active,,
298,2,0,298,1,1,1,32,1,1656528681,1,False,active,,
301,2,0,301,1,1,1,1,55,1656528465,1,False,active,,
302,0,0,302,1,0,1,0,0,86400,1,False,active,,
303,3,0,303,1,2,1,63,0,1656528541,1,False,active,,
304,2,0,304,1,3,1,41,4,1656528579,1,False,active,,
305,5,0,305,1,2,1,34,5,1656528690,1,False,active,,
307,3,0,307,1,0,1,26,2,1656528582,1,False,active,,
308,1,0,308,1,1,1,43,4,1656528531,1,False,active,,
311,7,0,311,1,1,1,29,23,1656528698,1,False,active,,
312,7,0,312,1,3,1,15,11,1656528521,1,False,active,,
313,54,0,313,1,0,1,1,0,1656528546,1,False,active,,
315,1,0,315,1,0,1,28,0,1656528646,1,False,active,,
316,6,0,316,1,1,1,37,0,1656527534,1,False,active,,
317,1,1,317,1,0,1,13,52,1656528527,1,False,active,,
319,2,20,319,1,4,1,13,0,1656528574,1,False,active,"{'valet_revision': 11071, 'region': 'BKN', 'off_dock_count': 62, 'off_dock_capacity': 70, 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'dock_blocked_count': 20, 'active': False}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,2,0,320,1,3,1,51,0,1656528452,1,False,active,,
321,0,0,321,1,2,1,37,1,1656528687,1,False,active,,
323,5,0,323,1,1,1,31,3,1656528637,1,False,active,,
324,1,0,324,1,1,1,72,1,1656527599,1,False,active,,
325,3,0,325,1,0,0,27,5,1656527049,0,False,active,,
326,3,0,326,1,1,1,1,37,1656528523,1,False,active,,
327,3,0,327,1,3,1,33,3,1656528600,1,False,active,,
328,2,0,328,1,2,1,24,9,1656528514,1,False,active,,
330,5,0,330,1,1,1,30,7,1656528457,1,False,active,,
331,1,0,331,1,0,1,20,5,1656528654,1,False,active,,
332,1,0,332,1,1,1,1,34,1656528296,1,False,active,,
334,2,0,334,1,4,1,13,29,1656528681,1,False,active,,
335,2,0,335,1,0,1,21,3,1656528553,1,False,active,,
336,3,0,336,1,1,1,33,21,1656528422,1,False,active,,
339,2,0,339,1,0,1,10,29,1656528578,1,False,active,,
340,0,0,340,1,0,1,18,9,1656527058,1,False,active,,
341,0,0,341,1,0,1,7,12,1656528474,1,False,active,,
342,0,0,342,1,2,1,10,19,1656528079,1,False,active,,
343,3,0,343,1,0,1,18,2,1656528514,1,False,active,,
344,2,0,344,1,0,1,3,18,1656528592,1,False,active,,
346,0,0,346,1,0,1,4,23,1656528504,1,False,active,,
347,3,0,347,1,1,1,35,16,1656528572,1,False,active,,
349,0,0,349,1,0,1,22,39,1656528572,1,False,active,,
350,6,0,350,1,1,1,8,32,1656528642,1,False,active,,
352,1,0,352,1,0,1,27,8,1656528566,1,False,active,,
353,3,0,353,1,0,1,15,9,1656528610,1,False,active,,
354,3,0,354,1,1,1,37,23,1656528687,1,False,active,,
355,0,0,355,1,1,1,40,3,1656528312,1,False,active,,
356,1,0,356,1,0,1,5,16,1656528615,1,False,active,,
358,3,0,358,1,4,1,20,27,1656528569,1,False,active,,
359,1,0,359,1,6,1,62,16,1656528418,1,False,active,,
360,8,0,360,1,0,1,30,0,1656528636,1,False,active,,
361,2,0,361,1,2,1,77,0,1656528327,1,False,active,,
362,0,0,362,1,4,1,19,36,1656528439,1,False,active,,
363,3,0,363,1,1,1,52,18,1656528688,1,False,active,,
364,0,0,364,1,0,1,20,7,1656528208,1,False,active,,
366,0,0,366,1,0,1,3,30,1656528309,1,False,active,,
367,1,0,367,1,2,1,50,6,1656528615,1,False,active,,
368,5,0,368,1,0,1,6,36,1656528580,1,False,active,,
369,2,0,369,1,5,1,27,47,1656528543,1,False,active,,
372,2,0,372,1,0,1,14,11,1656528535,1,False,active,,
373,0,0,373,1,1,1,18,1,1656528447,1,False,active,,
376,2,0,376,1,2,1,37,2,1656528672,1,False,active,,
377,4,0,377,1,2,1,35,10,1656528667,1,False,active,,
379,2,0,379,1,4,1,26,27,1656528563,1,False,active,,
380,4,0,380,1,3,1,17,20,1656528661,1,False,active,,
383,2,0,383,1,3,1,3,34,1656528468,1,False,active,,
385,0,0,385,1,1,1,17,12,1656527978,1,False,active,,
386,3,0,386,1,1,1,72,4,1656528698,1,False,active,,
387,3,0,387,1,2,1,35,1,1656528260,1,False,active,,
388,4,0,388,1,1,1,15,16,1656528559,1,False,active,,
389,0,0,389,1,0,1,11,16,1656528527,1,False,active,,
390,2,0,390,1,0,1,45,1,1656528184,1,False,active,,
391,3,0,391,1,0,1,16,23,1656528161,1,False,active,,
392,0,0,392,1,0,1,32,3,1656528530,1,False,active,,
393,0,0,393,1,1,1,4,34,1656528529,1,False,active,,
394,1,1,394,1,0,1,3,29,1656528551,1,False,active,,
396,1,0,396,1,0,1,6,18,1656528011,1,False,active,,
397,6,0,397,1,0,1,2,67,1656527588,1,False,active,,
398,2,0,398,1,0,1,30,5,1656528412,1,False,active,,
399,1,0,399,1,0,1,6,31,1656528040,1,False,active,,
400,0,0,400,1,1,1,3,12,1656528435,1,False,active,,
401,3,0,401,1,3,1,18,20,1656528679,1,False,active,,
403,2,0,403,1,0,1,39,16,1656528442,1,False,active,,
405,0,0,405,1,1,1,18,33,1656528615,1,False,active,,
406,2,0,406,1,1,1,5,13,1656528156,1,False,active,,
408,1,0,408,1,0,1,28,16,1656528245,1,False,active,,
410,1,0,410,1,0,1,20,58,1656528144,1,False,active,,
411,1,0,411,1,2,1,3,26,1656528505,1,False,active,,
412,2,0,412,1,0,1,22,5,1656528512,1,False,active,,
415,3,0,415,1,0,1,38,5,1656527386,1,False,active,,
416,1,0,416,1,0,1,16,14,1656528481,1,False,active,,
417,0,0,417,1,0,1,24,1,1656526232,1,False,active,,
418,0,0,418,1,2,1,36,1,1656528595,1,False,active,,
419,0,0,419,0,0,0,0,0,86400,0,False,out_of_service,,
420,1,0,420,1,0,1,16,34,1656527904,1,False,active,,
421,2,0,421,1,1,1,11,6,1656528680,1,False,active,,
422,7,0,422,1,0,1,0,107,1656528574,1,False,active,,
423,0,0,423,1,1,1,1,43,1656528568,1,False,active,,
426,6,0,426,1,3,1,72,3,1656528567,1,False,active,,
427,4,0,427,1,0,1,42,1,1656528203,1,False,active,,
428,0,0,428,1,0,1,12,29,1656527017,1,False,active,,
432,2,0,432,1,1,1,3,26,1656528682,1,False,active,,
434,7,0,434,1,0,1,47,6,1656528593,1,False,active,,
435,6,0,435,1,2,1,36,8,1656528686,1,False,active,,
436,0,0,436,1,2,1,19,8,1656528340,1,False,active,,
437,1,0,437,1,0,1,22,0,1656528580,1,False,active,,
438,1,1,438,1,0,1,11,33,1656528541,1,False,active,,
439,4,0,439,1,1,1,16,23,1656528234,1,False,active,,
440,2,0,440,1,1,1,22,8,1656528441,1,False,active,,
442,4,0,442,1,3,1,21,25,1656528615,1,False,active,,
443,4,0,443,1,0,1,10,9,1656528308,1,False,active,,
445,1,0,445,1,6,1,23,83,1656528587,1,False,active,,
446,0,0,446,0,0,0,0,0,86400,0,False,out_of_service,,
447,1,0,447,1,0,1,8,22,1656528320,1,False,active,,
448,1,0,448,1,1,1,1,25,1656528245,1,False,active,,
450,0,0,450,1,3,1,8,59,1656528587,1,False,active,,
453,1,0,453,1,1,1,3,62,1656528480,1,False,active,,
454,2,0,454,1,0,1,4,29,1656527660,1,False,active,,
455,1,0,455,1,1,1,56,2,1656528360,1,False,active,,
456,3,0,456,1,9,1,34,14,1656528681,1,False,active,,
457,2,0,457,1,2,1,3,74,1656528676,1,False,active,,
458,4,0,458,1,4,1,20,6,1656528667,1,False,active,,
460,3,0,460,1,3,1,14,8,1656528609,1,False,active,,
461,2,0,461,1,1,1,4,50,1656528582,1,False,active,,
462,6,0,462,1,0,1,24,45,1656528254,1,False,active,,
464,3,0,464,1,4,1,48,28,1656528668,1,False,active,,
465,6,0,465,1,3,1,14,18,1656528588,1,False,active,,
466,0,0,466,1,4,1,31,3,1656528695,1,False,active,,
468,4,0,468,1,0,1,1,74,1656528394,1,False,active,,
469,1,0,469,1,2,1,6,78,1656528595,1,False,active,,
470,4,0,470,1,4,1,14,66,1656528633,1,False,active,,
471,2,0,471,1,1,1,26,3,1656528668,1,False,active,,
472,2,0,472,1,1,1,19,34,1656528617,1,False,active,,
473,2,0,473,1,0,1,50,12,1656528696,1,False,active,,
474,3,0,474,1,2,1,36,2,1656528503,1,False,active,,
476,0,0,476,1,1,1,4,60,1656528688,1,False,active,,
