station_id,num_bikes_available,is_renting,eightd_has_available_keys,num_docks_disabled,is_returning,station_status,is_installed,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,last_reported,eightd_active_station_services,valet
72,0,0,False,0,0,out_of_service,0,0,0,72,55,1656077952,,
79,11,1,False,0,1,active,1,2,1,79,20,1656537244,,
82,22,1,False,0,1,active,1,1,0,82,4,1656537195,,
83,39,1,False,0,1,active,1,4,0,83,19,1656537436,,
116,0,0,False,0,0,out_of_service,0,0,0,116,0,86400,,
119,51,1,False,0,1,active,1,1,1,119,1,1656535694,,
120,5,1,False,0,1,active,1,0,0,120,13,1656535367,,
127,13,1,False,0,1,active,1,1,0,127,17,1656536924,,
128,46,1,False,0,1,active,1,2,0,128,7,1656537246,,
143,42,1,False,0,1,active,1,1,0,143,7,1656537389,,
144,57,1,False,0,1,active,1,1,0,144,0,1656537015,,
146,43,1,False,0,1,active,1,3,0,146,9,1656537331,,
150,3,1,False,0,1,active,1,1,0,150,52,1656537298,,
151,20,1,False,0,1,active,1,8,1,151,4,1656537387,,
152,41,1,False,0,1,active,1,2,1,152,6,1656537341,,
153,22,1,False,0,1,active,1,2,0,153,39,1656537414,,
157,19,1,False,0,1,active,1,1,2,157,3,1656537206,,
161,23,1,False,0,1,active,1,3,0,161,9,1656537439,,
164,49,1,False,0,1,active,1,5,0,164,23,1656537336,,
168,28,1,False,0,1,active,1,6,0,168,13,1656537176,,
174,4,1,False,0,1,active,1,0,0,174,31,1656537325,,
212,49,1,False,0,1,active,1,3,1,212,8,1656537275,,
216,25,1,False,0,1,active,1,2,1,216,10,1656537269,,
217,13,1,False,0,1,active,1,25,2,217,0,1656537373,,
223,0,1,False,27,1,active,1,6,0,223,0,1656537215,,
224,23,1,False,0,1,active,1,3,0,224,8,1656537363,,
228,0,0,False,0,0,active,1,0,0,228,0,86400,,
229,19,1,False,0,1,active,1,2,0,229,0,1656537318,,
232,47,1,False,0,1,active,1,1,1,232,2,1656537291,,
236,31,1,False,0,1,active,1,2,3,236,17,1656537431,,
238,9,1,False,0,1,active,1,2,1,238,20,1656537176,,
239,57,1,False,1,1,active,1,1,0,239,3,1656537266,,
241,22,1,False,0,1,active,1,0,2,241,1,1656536996,,
242,0,0,False,0,0,out_of_service,0,0,0,242,0,86400,,
244,13,1,False,0,1,active,1,1,2,244,37,1656537358,,
245,49,1,False,0,1,active,1,3,0,245,4,1656536071,,
247,49,1,False,0,1,active,1,6,7,247,3,1656537393,,
248,74,1,False,0,1,active,1,3,0,248,14,1656532220,,
249,20,1,False,0,1,active,1,0,0,249,7,1656536981,,
250,31,1,False,0,1,active,1,3,0,250,6,1656537404,,
251,18,1,False,0,1,active,1,4,2,251,3,1656537172,,
252,7,1,False,0,1,active,1,3,0,252,22,1656537396,,
254,6,1,False,0,1,active,1,1,0,254,40,1656537422,,
257,31,1,False,0,1,active,1,2,0,257,37,1656537116,,
258,2,1,False,0,1,active,1,3,0,258,18,1656537087,,
259,24,1,False,0,1,active,1,8,0,259,7,1656537399,,
260,13,1,False,0,1,active,1,1,0,260,18,1656537121,,
261,37,1,False,0,1,active,1,3,1,261,1,1656537359,,
262,15,1,False,0,1,active,1,3,3,262,6,1656537259,,
264,26,1,False,0,1,active,1,1,0,264,2,1656537341,,
265,33,1,False,0,1,active,1,2,2,265,0,1656537398,,
266,6,1,False,0,1,active,1,0,0,266,24,1656536969,,
267,6,1,False,0,1,active,1,1,2,267,71,1656537438,,
268,12,1,False,0,1,active,1,3,0,268,12,1656537034,,
270,6,1,False,0,1,active,1,1,1,270,21,1656537370,,
275,0,1,False,0,1,active,1,2,0,275,16,1656534153,,
278,10,1,False,0,1,active,1,2,0,278,6,1656536277,,
281,7,1,False,0,1,active,1,5,0,281,84,1656537277,,
284,28,1,False,0,1,active,1,8,0,284,15,1656537406,,
285,38,1,False,0,1,active,1,5,0,285,35,1656537435,,
289,9,1,False,0,1,active,1,0,0,289,10,1656537123,,
291,7,1,False,0,1,active,1,0,0,291,13,1656536923,,
293,68,1,False,0,1,active,1,5,0,293,18,1656537394,,
294,36,1,False,0,1,active,1,3,1,294,23,1656537121,,
295,18,1,False,0,1,active,1,0,0,295,6,1656537426,,
297,1,1,False,0,1,active,1,6,0,297,68,1656537356,,
298,31,1,False,0,1,active,1,2,0,298,1,1656537248,,
301,1,1,False,0,1,active,1,3,0,301,53,1656537228,,
302,0,1,False,0,1,active,1,0,0,302,0,86400,,
303,60,1,False,0,1,active,1,2,1,303,3,1656537362,,
304,29,1,False,0,1,active,1,0,0,304,18,1656537422,,
