station_id,is_installed,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,legacy_id,last_reported,num_docks_available,num_bikes_available,num_bikes_disabled,is_returning,station_status,is_renting,eightd_active_station_services,valet
72,0,0,False,0,72,1656077952,55,0,0,0,out_of_service,0,,
79,1,0,False,2,79,1656538278,19,12,2,1,active,1,,
82,1,0,False,0,82,1656538332,4,22,1,1,active,1,,
83,1,0,False,1,83,1656538280,16,43,3,1,active,1,,
116,0,0,False,0,116,86400,0,0,0,0,out_of_service,0,,
119,1,0,False,1,119,1656538030,2,50,1,1,active,1,,
120,1,0,False,0,120,1656538235,11,7,0,1,active,1,,
127,1,0,False,0,127,1656538259,20,9,2,1,active,1,,
128,1,0,False,0,128,1656538063,9,45,1,1,active,1,,
143,1,0,False,0,143,1656538350,6,42,2,1,active,1,,
144,1,0,False,1,144,1656538215,0,57,1,1,active,1,,
146,1,0,False,0,146,1656538327,4,47,4,1,active,1,,
150,1,0,False,4,150,1656538366,47,7,2,1,active,1,,
151,1,0,False,1,151,1656538251,9,17,6,1,active,1,,
152,1,0,False,0,152,1656538269,12,35,2,1,active,1,,
153,1,0,False,0,153,1656538152,37,23,3,1,active,1,,
157,1,0,False,1,157,1656538361,3,19,1,1,active,1,,
161,1,0,False,2,161,1656538304,7,25,3,1,active,1,,
164,1,0,False,0,164,1656538348,31,41,5,1,active,1,,
168,1,0,False,1,168,1656538313,17,24,6,1,active,1,,
174,1,0,False,0,174,1656538364,31,3,1,1,active,1,,
212,1,0,False,0,212,1656538349,13,44,3,1,active,1,,
216,1,0,False,1,216,1656537971,10,25,2,1,active,1,,
217,1,0,False,2,217,1656538040,0,13,25,1,active,1,,
223,1,27,False,0,223,1656538222,0,0,6,1,active,1,,
224,1,0,False,1,224,1656538366,10,23,1,1,active,1,,
228,1,0,False,0,228,86400,0,0,0,1,active,1,,
229,1,0,False,0,229,1656538034,0,19,2,1,active,1,,
232,1,0,False,0,232,1656538259,4,45,1,1,active,1,,
236,1,0,False,0,236,1656538089,23,26,2,1,active,1,,
238,1,0,False,1,238,1656538145,19,8,4,1,active,1,,
239,1,1,False,0,239,1656538367,2,57,1,1,active,1,,
241,1,0,False,0,241,1656537847,2,21,0,1,active,1,,
242,0,0,False,0,242,86400,0,0,0,0,out_of_service,0,,
244,1,0,False,1,244,1656538367,41,9,1,1,active,1,,
245,1,0,False,0,245,1656536071,4,49,3,1,active,1,,
247,1,0,False,3,247,1656538181,7,46,5,1,active,1,,
248,1,0,False,0,248,1656538335,13,75,3,1,active,1,,
249,1,0,False,0,249,1656536981,7,20,0,1,active,1,,
250,1,0,False,0,250,1656538152,5,32,3,1,active,1,,
251,1,0,False,1,251,1656538347,3,17,5,1,active,1,,
252,1,0,False,1,252,1656538080,21,8,3,1,active,1,,
254,1,0,False,0,254,1656538265,36,10,1,1,active,1,,
257,1,0,False,0,257,1656538206,38,30,2,1,active,1,,
258,1,0,False,0,258,1656538328,17,3,3,1,active,1,,
259,1,0,False,0,259,1656538291,14,17,8,1,active,1,,
260,1,0,False,0,260,1656538295,23,8,1,1,active,1,,
261,1,0,False,0,261,1656538240,3,35,3,1,active,1,,
262,1,0,False,1,262,1656537845,5,14,5,1,active,1,,
264,1,0,False,0,264,1656538333,7,21,1,1,active,1,,
265,1,0,False,2,265,1656538324,0,33,2,1,active,1,,
266,1,0,False,0,266,1656538323,21,8,1,1,active,1,,
267,1,0,False,0,267,1656538193,72,5,1,1,active,1,,
268,1,0,False,0,268,1656538134,15,9,3,1,active,1,,
270,1,0,False,3,270,1656538091,15,12,1,1,active,1,,
275,1,0,False,0,275,1656537714,15,1,2,1,active,1,,
278,1,0,False,0,278,1656536277,6,10,2,1,active,1,,
281,1,0,False,0,281,1656538352,91,0,5,1,active,1,,
284,1,0,False,1,284,1656538265,17,26,8,1,active,1,,
285,1,0,False,1,285,1656538366,34,39,5,1,active,1,,
289,1,0,False,0,289,1656537123,10,9,0,1,active,1,,
291,1,0,False,0,291,1656538269,14,6,0,1,active,1,,
293,1,0,False,1,293,1656538358,19,68,4,1,active,1,,
294,1,0,False,0,294,1656538330,20,39,3,1,active,1,,
295,1,0,False,0,295,1656538252,7,17,0,1,active,1,,
