station_id,is_installed,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,legacy_id,is_returning,last_reported,num_docks_available,is_renting,num_docks_disabled,eightd_has_available_keys,eightd_active_station_services,valet
72,0,out_of_service,0,0,0,72,0,1656077952,55,0,0,False,,
79,1,active,2,9,1,79,1,1656539524,22,1,0,False,,
82,1,active,1,21,0,82,1,1656538967,5,1,0,False,,
83,1,active,3,44,1,83,1,1656539165,15,1,0,False,,
116,0,out_of_service,0,0,0,116,0,86400,0,0,0,False,,
119,1,active,2,51,1,119,1,1656539631,0,1,0,False,,
120,1,active,0,10,3,120,1,1656539436,8,1,0,False,,
127,1,active,2,11,1,127,1,1656539509,18,1,0,False,,
128,1,active,1,39,0,128,1,1656539531,15,1,0,False,,
143,1,active,2,45,1,143,1,1656539584,3,1,0,False,,
144,1,active,1,55,0,144,1,1656539459,2,1,0,False,,
146,1,active,4,46,0,146,1,1656539512,5,1,0,False,,
150,1,active,2,10,4,150,1,1656539561,44,1,0,False,,
151,1,active,6,19,0,151,1,1656539558,8,1,0,False,,
152,1,active,2,34,0,152,1,1656539631,13,1,0,False,,
153,1,active,2,16,0,153,1,1656539559,45,1,0,False,,
157,1,active,1,22,1,157,1,1656539009,0,1,0,False,,
161,1,active,3,23,0,161,1,1656539442,9,1,0,False,,
164,1,active,4,30,1,164,1,1656539612,43,1,0,False,,
168,1,active,6,28,0,168,1,1656539620,13,1,0,False,,
174,1,active,1,5,1,174,1,1656539599,29,1,0,False,,
212,1,active,5,39,1,212,1,1656539613,16,1,0,False,,
216,1,active,2,28,1,216,1,1656539527,7,1,0,False,,
217,1,active,34,4,1,217,1,1656539561,0,1,0,False,,
223,1,active,6,0,0,223,1,1656539567,0,1,27,False,,
224,1,active,0,18,0,224,1,1656539457,16,1,0,False,,
228,1,active,6,29,0,228,1,1656539627,45,1,0,False,,
229,1,active,2,17,4,229,1,1656539580,2,1,0,False,,
232,1,active,1,43,1,232,1,1656539368,6,1,0,False,,
236,1,active,2,20,0,236,1,1656539415,29,1,0,False,,
238,1,active,5,9,1,238,1,1656539329,17,1,0,False,,
239,1,active,1,57,0,239,1,1656539582,2,1,1,False,,
241,1,active,1,20,1,241,1,1656539603,2,1,0,False,,
242,0,out_of_service,0,0,0,242,0,86400,0,0,0,False,,
244,1,active,1,7,1,244,1,1656539344,43,1,0,False,,
245,1,active,3,48,0,245,1,1656539326,5,1,0,False,,
247,1,active,6,46,2,247,1,1656539562,6,1,0,False,,
248,1,active,3,75,0,248,1,1656539602,13,1,0,False,,
