station_id,last_reported,num_docks_disabled,is_installed,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_returning,is_renting,num_bikes_available,num_bikes_disabled,station_status,legacy_id,valet,eightd_active_station_services
72,1656077952,0,0,55,False,0,0,0,0,0,out_of_service,72,,
79,1656540618,0,1,23,False,1,1,1,8,2,active,79,,
82,1656539914,0,1,4,False,0,1,1,22,1,active,82,,
83,1656540604,0,1,20,False,0,1,1,39,3,active,83,,
116,86400,0,0,0,False,0,0,0,0,0,out_of_service,116,,
119,1656539777,0,1,0,False,0,1,1,50,3,active,119,,
120,1656540450,0,1,7,False,1,1,1,11,0,active,120,,
127,1656540558,0,1,22,False,0,1,1,9,0,active,127,,
128,1656540739,0,1,14,False,0,1,1,40,1,active,128,,
143,1656540560,0,1,5,False,2,1,1,43,2,active,143,,
144,1656539459,0,1,2,False,0,1,1,55,1,active,144,,
146,1656540663,0,1,2,False,0,1,1,49,4,active,146,,
150,1656540501,0,1,49,False,0,1,1,5,2,active,150,,
151,1656540731,0,1,18,False,0,1,1,9,6,active,151,,
152,1656540342,0,1,11,False,0,1,1,36,2,active,152,,
153,1656540749,0,1,46,False,0,1,1,15,2,active,153,,
157,1656540658,0,1,1,False,1,1,1,20,2,active,157,,
161,1656540728,0,1,3,False,3,1,1,28,4,active,161,,
164,1656540740,0,1,53,False,0,1,1,20,4,active,164,,
168,1656540673,0,1,18,False,1,1,1,22,7,active,168,,
174,1656540562,0,1,28,False,1,1,1,6,1,active,174,,
212,1656540740,0,1,24,False,0,1,1,32,4,active,212,,
216,1656540692,0,1,6,False,0,1,1,29,2,active,216,,
217,1656540749,0,1,0,False,2,1,1,6,32,active,217,,
223,1656540574,27,1,0,False,0,1,1,0,6,active,223,,
224,1656540412,0,1,20,False,0,1,1,14,0,active,224,,
228,1656540750,22,1,35,False,0,1,1,11,12,active,228,,
229,1656540704,0,1,1,False,1,1,1,17,3,active,229,,
232,1656540289,0,1,8,False,0,1,1,41,1,active,232,,
236,1656540630,0,1,22,False,1,1,1,27,2,active,236,,
238,1656540530,0,1,16,False,0,1,1,10,5,active,238,,
239,1656540551,1,1,0,False,0,1,1,59,1,active,239,,
241,1656540696,0,1,4,False,0,1,1,17,2,active,241,,
242,86400,0,0,0,False,0,0,0,0,0,out_of_service,242,,
244,1656540578,0,1,45,False,0,1,1,5,1,active,244,,
245,1656540652,0,1,1,False,1,1,1,52,3,active,245,,
247,1656540720,0,1,3,False,1,1,1,50,5,active,247,,
248,1656540561,0,1,11,False,0,1,1,77,3,active,248,,
249,1656540747,0,1,10,False,0,1,1,17,0,active,249,,
250,1656540681,0,1,8,False,0,1,1,29,3,active,250,,
251,1656540634,0,1,8,False,0,1,1,14,3,active,251,,
252,1656540745,0,1,24,False,0,1,1,5,3,active,252,,
254,1656540705,0,1,28,False,0,1,1,17,2,active,254,,
257,1656540730,0,1,33,False,0,1,1,35,2,active,257,,
258,1656540598,0,1,10,False,3,1,1,7,6,active,258,,
259,1656540498,0,1,23,False,0,1,1,8,8,active,259,,
260,1656540704,0,1,23,False,1,1,1,8,1,active,260,,
261,1656540455,0,1,2,False,0,1,1,36,3,active,261,,
262,1656540506,0,1,4,False,0,1,1,15,5,active,262,,
264,1656540484,0,1,1,False,0,1,1,27,1,active,264,,
265,1656540678,0,1,1,False,0,1,1,31,2,active,265,,
266,1656540600,0,1,22,False,1,1,1,7,1,active,266,,
267,1656540743,0,1,73,False,0,1,1,4,1,active,267,,
268,1656540740,0,1,13,False,0,1,1,10,4,active,268,,
270,1656540450,0,1,19,False,0,1,1,8,1,active,270,,
275,1656540486,0,1,16,False,0,1,1,0,2,active,275,,
278,1656540744,0,1,6,False,1,1,1,10,2,active,278,,
281,1656540731,0,1,94,False,0,1,1,2,0,active,281,,
284,1656540739,0,1,14,False,1,1,1,30,7,active,284,,
285,1656540697,0,1,35,False,0,1,1,40,3,active,285,,
289,1656539176,0,1,12,False,0,1,1,7,0,active,289,,
291,1656540679,0,1,15,False,1,1,1,5,0,active,291,,
293,1656540687,0,1,21,False,1,1,1,66,4,active,293,,
294,1656540733,0,1,14,False,0,1,1,45,3,active,294,,
295,1656540562,0,1,0,False,1,1,1,23,1,active,295,,
297,1656540618,0,1,70,False,0,1,1,1,4,active,297,,
298,1656539996,0,1,1,False,0,1,1,31,2,active,298,,
301,1656540679,0,1,49,False,1,1,1,7,2,active,301,,
302,1656540515,0,1,0,False,7,1,1,36,0,active,302,,
303,1656540724,0,1,6,False,0,1,1,56,3,active,303,,
304,1656540719,0,1,29,False,0,1,1,18,0,active,304,,
305,1656540747,0,1,44,False,0,1,1,1,4,active,305,,
307,1656540652,0,1,0,False,1,1,1,28,3,active,307,,
308,1656540742,0,1,2,False,0,1,1,45,1,active,308,,
311,1656540740,0,1,22,False,1,1,1,34,3,active,311,,
312,1656540656,0,1,3,False,1,1,1,27,2,active,312,,
313,1656540655,0,1,4,False,0,1,1,48,3,active,313,,
315,1656540687,0,1,4,False,0,1,1,22,2,active,315,,
316,1656540614,0,1,11,False,0,1,1,28,2,active,316,,
317,1656540743,1,1,57,False,1,1,1,9,0,active,317,,
319,1656540729,20,1,0,False,0,1,1,23,3,active,319,"{'region': 'BKN', 'off_dock_count': 26, 'active': True, 'valet_revision': 11117, 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_capacity': 70, 'dock_blocked_count': 20}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,1656540549,0,1,15,False,0,1,1,35,3,active,320,,
321,1656540501,0,1,5,False,0,1,1,32,0,active,321,,
